neighborhood_code
Qatortol mahallasi
Beshchinor mahallasi
Dilobod mahallasi
Katta Chilonzor-3 mahallasi
Katta Chilonzor-1 mahallasi
Katta Chilonzor-2 mahallasi
Nafosat mahallasi
Ibn Sino mahallasi
Gulbozor mahallasi
Xontepa mahallasi
Chinor mahallasi
Muqimiy mahallasi
Mirobod mahallasi
Hamid Olimjon mahallasi
Navbahor mahallasi
Bekobod mahallasi
Abdulla Avloniy mahallasi
Bobur mahallasi
Qushbegi mahallasi
Yunus Rajabiy mahallasi
Bektemir mahallasi
Darxon mahallasi
Abdulla Qahhor mahallasi
Sariko‘l mahallasi
Matonat mahallasi
Sharaf mahallasi
Mustaqillik mahallasi
Oybek mahallasi
Gulzor mahallasi
Katta Qozirabot mahallasi
Uchuvchilar mahallasi
Nurobod mahallasi
Bahor mahallasi
Sug'diyona mahallasi
Katta Olmazor mahallasi
Yalang'och mahallasi
O‘qchi mahallasi
Muxtor Ashrafiy mahallasi
Kichik Xirmontepa mahallasi
Ahmad Yugnakiy mahallasi
Sebzor mahallasi
Sultoniya mahallasi
Avayxon mahallasi
Feruza mahallasi
Ko‘hna Cho‘ponota mahallasi
Botirma mahallasi
Yashnobod mahallasi
Traktorsozlar mahallasi
Uchchinor mahallasi
Olimlar mahallasi
Bog‘iston mahallasi
Mehrjon mahallasi
Guzar mahallasi
Shuhrat mahallasi
Bodomzor mahallasi
Oltinko'l mahallasi
Quruvchilar mahallasi
Bunyodobod mahallasi
Choshtepa mahallasi
Qipchoq mahallasi
Farhod mahallasi
Adolat mahallasi
Ko‘tarma mahallasi
Vatan mahallasi
Do‘mbirobod mahallasi
Beshariq mahallasi
Humoyun mahallasi
Navro'zobod mahallasi
Yangiturmush mahallasi
Geofizika mahallasi
Xuroson mahallasi
Diydor mahallasi
Bo‘z mahallasi
Beruniy mahallasi
Beg‘ubor mahallasi
Yakkasaroy mahallasi
Do'stlik mahallasi
Achaobod mahallasi
Qashqar mahallasi
Qadrdon mahallasi
Beltepa mahallasi
Chamanbog' mahallasi
Asalobod mahallasi
Sayram mahallasi
Nurhayot mahallasi
Lolazor mahallasi
Ko‘kcha mahallasi
Halqabog' mahallasi
Turkiston mahallasi
Uvaysiy mahallasi
Astrobod mahallasi
Habibiy mahallasi
Islomobod mahallasi
Uysozlar mahallasi
Yangihayot mahallasi
Navqiron mahallasi
Nurmakon mahallasi
Uyg'onish mahallasi
Boyqo‘rg‘on mahallasi
Shahriston mahallasi
Husniobod mahallasi
Parvoz mahallasi
Mevazor mahallasi
Qoratosh mahallasi
Labzak mahallasi
Chorsu mahallasi
Boshliq mahallasi
Nayman mahallasi
Chaqar mahallasi
Abdulla Qodiriy mahallasi
Yangi Sergeli mahallasi
Xadra mahallasi
Do‘stobod mahallasi
Podshobog' mahallasi
Cho'lpon mahallasi
Ahmad Donish mahallasi
Mehrigiyo mahallasi
Bog‘saroy mahallasi
Rakat mahallasi
Bog‘ishamol mahallasi
Birlik mahallasi
Xonobod mahallasi
Ahilobod mahallasi
Tuzel mahallasi
To‘ytepa mahallasi
Fidokor mahallasi
Muhandislar mahallasi
Yuzrabot mahallasi
Afrosiyob mahallasi
Ma'rifat mahallasi
Novza mahallasi
Lutfiy mahallasi
Alisher Navoiy mahallasi
Mashinasozlar mahallasi
Vatandosh mahallasi
Xosiyatli mahallasi
Diyorobod mahallasi
Guliston mahallasi
Turon mahallasi
Dilbuloq mahallasi
Yakkatut mahallasi
Cho‘ponota mahallasi
Nilufar mahallasi
Shirin mahallasi
Sobirobod mahallasi
Mingo‘rik mahallasi
Ahmad Yassaviy mahallasi
Ziyonur mahallasi
Miskin mahallasi
Shahrisabz mahallasi
Ibrohimota mahallasi
Banokatiy mahallasi
Iykota mahallasi
Yangi Mirobod mahallasi
Nurafshon mahallasi
Beshyog'och mahallasi
Bog‘ko‘cha mahallasi
Qorasaroy mahallasi
Inoqobod mahallasi
Movarounnahr mahallasi
To‘qimachi mahallasi
Xiyobontepa mahallasi
Madadkor mahallasi
Xushnud mahallasi
Uchqahramon mahallasi
Gulsanam mahallasi
Beshqo‘rg‘on mahallasi
Registon mahallasi
Oltinsoy mahallasi
O‘rda mahallasi
Taxtapul mahallasi
Shifokorlar mahallasi
Bo‘rijar mahallasi
Gulshanobod mahallasi
Belariq mahallasi
Kamolot mahallasi
Katta Yangiobod mahallasi
Anorzor mahallasi
Yorqinhayot mahallasi
Barhayot mahallasi
Fazogir mahallasi
Tepaguzar mahallasi
Saxovat mahallasi
Eshonguzar mahallasi
Yunusota mahallasi
Oltintepa mahallasi
Lashkarbegi mahallasi
Orzu mahallasi
Shukrona mahallasi
Gulobod mahallasi
Yangiyo'l mahallasi
Yo'ldosh mahallasi
Yangi Umid mahallasi
Yangizamon mahallasi
Meros mahallasi
At-Termiziy mahallasi
Birodarlik mahallasi
Akbarobod mahallasi
Madaniyat mahallasi
Shodlik mahallasi
Mannon Uyg‘ur mahallasi
Ziyokor mahallasi
Yangi Toshkent mahallasi
Zangiota mahallasi
Bekto'pi mahallasi
O‘rikzor mahallasi
Alimkent mahallasi
Al-Buxoriy mahallasi
Olimpiya mahallasi
Alpomish mahallasi
Ko‘kcha Darvoza mahallasi
Birlashgan mahallasi
Istiqlol mahallasi
Asaka mahallasi
Buyuk Turon mahallasi
Yunusobod mahallasi
Allon mahallasi
Maxmur mahallasi
Huvaydo mahallasi
Shodiyona mahallasi
Qichqiriq mahallasi
Ipakchi mahallasi
Amir Temur mahallasi
Bog‘ibo‘ston mahallasi
Universitet mahallasi
Quyosh mahallasi
Samarqand Darvoza mahallasi
Yangishahar mahallasi
Chamanzor mahallasi
Katta Qorasuv mahallasi
Elobod mahallasi
Olmachi mahallasi
Yuksalish mahallasi
Abdurauf Fitrat mahallasi
Barkamol mahallasi
Olmos mahallasi
Navro'z mahallasi
Navnihol mahallasi
Baynalmilal mahallasi
Beshqayrag‘och mahallasi
Hamid Sulaymonov mahallasi
Guruchariq mahallasi
Nihol mahallasi
Mohinur mahallasi
Tiklanish mahallasi
Fayziobod mahallasi
Katta Qa'ni mahallasi
Abay mahallasi
Xislat mahallasi
Katta Oltintepa mahallasi
Beshkapa mahallasi
Farovon mahallasi
Nodira mahallasi
Kamolon mahallasi
Chuqursoy mahallasi
Jomiy mahallasi
Istiqbol mahallasi
Uchtepa mahallasi
Kulolqo‘rg‘on mahallasi
Foziltepa mahallasi
Mumtoz mahallasi
Bo‘ston mahallasi
Chortoq mahallasi
Yangiobod mahallasi
Charxnovza mahallasi
Olim Xo‘jayev mahallasi
Quyi Darxon mahallasi
Chingeldi mahallasi
Qo‘yliqota mahallasi
Yuqori Beshqo‘rg‘on mahallasi
Shofayzi mahallasi
Buyuk ipak yo‘li mahallasi
Mirzo Ulug‘bek mahallasi
Yoshlik mahallasi
Katta Oqtepa mahallasi
Kamolon Darvoza mahallasi
Xonobodtepa mahallasi
Abu Bakr Shoshiy mahallasi
Jarariq mahallasi
Posira mahallasi
Al-Farg‘oniy mahallasi
Taqachi mahallasi
Katta Yalang'ochota mahallasi
Salor mahallasi
Majnuntol mahallasi
Bayot mahallasi
Go‘zal mahallasi
Qorasuv mahallasi
Tabassum mahallasi
Chig‘atoy Darvoza mahallasi
O'zgarish mahallasi
Paxta mahallasi
Qumariq mahallasi
Yangi Sebzor mahallasi
Konstitutsiya mahallasi
